Date,Symbol,Direction,Shares
2020-01-02,DIS,BUY,1000
2020-01-03,DIS,SELL,1000
2020-01-06,DIS,SELL,1000
2020-01-07,DIS,BUY,1000
2020-01-08,DIS,SELL,1000
2020-01-09,DIS,BUY,1000
2020-01-10,DIS,SELL,1000
2020-01-13,DIS,BUY,1000
2020-01-14,DIS,SELL,1000
2020-01-21,DIS,BUY,1000
2020-01-22,DIS,SELL,1000
2020-01-23,DIS,BUY,1000
2020-01-24,DIS,SELL,1000
2020-01-27,DIS,BUY,1000
2020-01-28,DIS,SELL,1000
2020-02-06,DIS,BUY,2000
2020-03-24,DIS,SELL,2000
2020-03-30,DIS,BUY,2000
2020-03-31,DIS,SELL,1000
2020-04-01,DIS,BUY,1000
2020-04-02,DIS,SELL,1000
2020-04-07,DIS,SELL,1000
2020-04-09,DIS,BUY,2000
2020-04-17,DIS,SELL,2000
2020-04-20,DIS,BUY,2000
2020-04-29,DIS,SELL,1000
2020-05-07,DIS,BUY,1000
2020-05-08,DIS,SELL,1000
2020-05-18,DIS,BUY,1000
2020-06-02,DIS,SELL,1000
2020-06-04,DIS,BUY,1000
2020-06-15,DIS,SELL,2000
2020-06-19,DIS,BUY,2000
2020-06-23,DIS,SELL,2000
2020-07-08,DIS,BUY,2000
2020-07-15,DIS,SELL,1000
2020-07-21,DIS,BUY,1000
2020-07-22,DIS,SELL,1000
2020-07-27,DIS,BUY,1000
2020-08-05,DIS,SELL,1000
2020-08-06,DIS,BUY,1000
2020-08-25,DIS,SELL,2000
2020-09-03,DIS,BUY,1000
2020-09-08,DIS,BUY,1000
2020-09-09,DIS,SELL,2000
2020-09-10,DIS,BUY,1000
2020-09-15,DIS,BUY,1000
2020-10-09,DIS,SELL,1000
2020-10-12,DIS,BUY,1000
2020-10-13,DIS,SELL,2000
2020-10-15,DIS,BUY,2000
2020-10-21,DIS,SELL,1000
2020-10-23,DIS,BUY,1000
2020-11-05,DIS,SELL,1000
2020-11-09,DIS,BUY,1000
2020-11-17,DIS,SELL,1000
2020-11-24,DIS,BUY,1000
2020-11-25,DIS,SELL,1000
2020-12-01,DIS,BUY,1000
2020-12-03,DIS,SELL,1000
2020-12-09,DIS,BUY,1000
2020-12-14,DIS,SELL,1000
2020-12-15,DIS,BUY,1000
2020-12-16,DIS,SELL,1000
2020-12-17,DIS,BUY,1000
2020-12-23,DIS,SELL,1000
2020-12-24,DIS,BUY,1000
2020-12-29,DIS,SELL,1000
2020-12-31,DIS,BUY,1000
2021-02-02,DIS,SELL,1000
2021-02-03,DIS,BUY,1000
2021-02-05,DIS,SELL,1000
2021-02-08,DIS,BUY,1000
2021-02-09,DIS,SELL,1000
2021-02-10,DIS,BUY,1000
2021-03-01,DIS,SELL,1000
2021-03-04,DIS,SELL,1000
2021-03-23,DIS,BUY,2000
2021-04-30,DIS,SELL,1000
2021-05-03,DIS,BUY,1000
2021-05-07,DIS,SELL,1000
2021-05-10,DIS,BUY,1000
2021-05-20,DIS,SELL,1000
2021-05-25,DIS,SELL,1000
2021-06-01,DIS,BUY,2000
2021-06-14,DIS,SELL,1000
2021-06-15,DIS,BUY,1000
2021-06-24,DIS,SELL,2000
2021-06-25,DIS,BUY,2000
2021-07-01,DIS,SELL,1000
2021-07-02,DIS,BUY,1000
2021-08-11,DIS,SELL,1000
2021-08-13,DIS,BUY,1000
2021-08-24,DIS,SELL,1000
2021-08-25,DIS,BUY,1000
2021-09-01,DIS,SELL,1000
2021-09-07,DIS,BUY,1000
2021-09-08,DIS,SELL,1000
2021-09-09,DIS,BUY,1000
2021-09-16,DIS,SELL,2000
2021-09-17,DIS,BUY,1000
2021-09-20,DIS,BUY,1000
2021-10-01,DIS,SELL,2000
2021-10-04,DIS,BUY,2000
2021-10-07,DIS,SELL,1000
2021-10-08,DIS,BUY,1000
2021-10-15,DIS,SELL,1000
2021-10-18,DIS,BUY,1000
2021-11-01,DIS,SELL,1000
2021-11-02,DIS,BUY,1000
2021-11-05,DIS,SELL,2000
2021-11-08,DIS,BUY,2000
2021-11-09,DIS,SELL,1000
2021-11-11,DIS,BUY,1000
2021-12-02,DIS,SELL,1000
2021-12-03,DIS,BUY,1000
2021-12-06,DIS,SELL,2000
2021-12-10,DIS,BUY,2000
2021-12-15,DIS,SELL,1000
2021-12-17,DIS,BUY,1000
2021-12-22,DIS,SELL,1000
2021-12-23,DIS,BUY,1000
2021-12-28,DIS,SELL,2000
2021-12-30,DIS,BUY,2000
2021-12-31,DIS,SELL,1000
